時間,温度,湿度,風速(Ave),風速(Max),雲量,雲の種類,風向き,その他,,,,,,,,,,,,,,,,
6:30,27.1,,,0.7,,,,,,,,,,,,,,,,,,,,
6:40,27.9,83,,3.6,7,積雲、高積雲,,,,,,,,,,,,,,,,,,
6:50,28.1,84.5,,4,8,積雲、高積雲、早雲,,,,,,,,,,,,,,,,,,
7:00,28,86.3,,4.4,8,積雲、高積雲,,,,,,,,,,,,,,,,,,
7:10,28.3,85.8,,4,8,高積雲、早雲、積雲,,,,,,,,,,,,,,,,,,
7:20,28.3,86.1,,4,9, 積雲,,,,,,,,,,,,,,,,,,
7:30,28.8,82.4,,5.4,7,積雲、巻層雲、層雲,,,,,,,,,,,,,,,,,,
7:40,28.8,82.1,,4.5,9,積雲、巻層雲,,,,,,,,,,,,,,,,,,
7:50,28.6,82.5,,5.5,9,積雲,,,,,,,,,,,,,,,,,,
8:00,28.8,84.8,,4.5,9,高積雲,,,,,,,,,,,,,,,,,,
8:10,29.1,81.3,,4.8,10,層積雲、積雲,,,,,,,,,,,,,,,,,,
8:20,29,82.3,,4.8,9,高積雲、積雲,,,,,,,,,,,,,,,,,,
8:30,28.7,83.5,,3.8,10,層雲、積雲,,,,,,,,,,,,,,,,,,
8:40,27.6,99.3,,4.2,10,積雲、層積雲,,,,,,,,,,,,,,,,,,
8:50,27.6,98.5,,3.3,10,積雲、層積雲,,,,,,,,,,,,,,,,,,
9:00,28.6,97.3,,4.5,8,層積雲、積雲,,,,,,,,,,,,,,,,,,
9:45,30,,,5.2,,,,,,,,,,,,,,,,,,,,
9:55,30.5,,,4.7,,,,,,,,,,,,,,,,,,,,
10:05,31,81.9,,6.7,,,,,,,,,,,,,,,,,,,,
10:15,31,80.4,,5.8,,,,,,,,,,,,,,,,,,,,
10:25,32.2,80.4,,8.2,,,,,,,,,,,,,,,,,,,,
10:35,33,80.4,,8.2,,,,,,,,,,,,,,,,,,,,
10:45,31.4,78.9,,8.7,,,,,,,,,,,,,,,,,,,,
10:55,32.1,80.4,,6.9,,,,,,,,,,,,,,,,,,,,
11:05,31.3,81.6,,6.9,,,,,,,,,,,,,,,,,,,,
11:15,31.9,80.6,,7.4,,,,,,,,,,,,,,,,,,,,
11:25,32.3,76,,7.1,,,,,,,,,,,,,,,,,,,,
12:35,30.9,76,2.6,4.1,8,高積雲,,,,,,,,,,,,,,,,,,
12:47,32.1,66.7,2,3.5,3,積乱雲,,,,,,,,,,,,,,,,,,
12:57,31.2,73.3,1.3,1.9,2,積乱雲,,,,,,,,,,,,,,,,,,
13:07,31.2,70.2,1.8,2.2,3,積乱雲,,,,,,,,,,,,,,,,,,
13:20,31.9,73.1,3.4,4.7,4,積乱雲,,,,,,,,,,,,,,,,,,
13:30,32.1,70.8,,,3,積雲,,,,,,,,,,,,,,,,,,
13:40,33.7,,2.5,3,2,積雲,,,,,,,,,,,,,,,,,,
13:50,33.1,68.9,2.8,3.4,3,積雲,,,,,,,,,,,,,,,,,,
14:00,31.8,68,2.5,2.7,5,積雲,,,,,,,,,,,,,,,,,,
14:50,29.5,80.5,,5.9,3,積雲,,,,,,,,,,,,,,,,,,
15:00,29.8,79.5,,6.5,4,積雲,,,,,,,,,,,,,,,,,,
15:10,29.9,78.4,,4.8,3,積雲,,,,,,,,,,,,,,,,,,
15:20,30.5,78.9,,6.2,3,積雲、高積雲,,,,,,,,,,,,,,,,,,
15:30,29.9,81.1,,5.3,3,巻層雲,,,,,,,,,,,,,,,,,,
15:40,30.6,80.2,,5.8,2,巻層雲,,,,,,,,,,,,,,,,,,
15:50,30.1,81.8,,4.5,5,巻層雲,,,,,,,,,,,,,,,,,,
16:00,30.1,81.2,,4.3,2,巻層雲,,,,,,,,,,,,,,,,,,
16:10,29.8,79.8,,4.9,10,積乱雲,,,,,,,,,,,,,,,,,,
16:20,29.8,76.4,,1.8,6,高積雲,,,,,,,,,,,,,,,,,,
16:30,30,76.6,,2,7,高積雲,,,,,,,,,,,,,,,,,,
17:10,29,94.3,4,5.3,2,,北,,,,,,,,,,,,,,,,,
17:20,29.2,94.7,3.2,5.3,3,,北,,,,,,,,,,,,,,,,,
17:30,29,90.5,3.1,6.3,6,,北,,,,,,,,,,,,,,,,,
17:40,29,93.9,4.5,5.6,4,,北,,,,,,,,,,,,,,,,,
17:50,29.4,91.4,2.8,6.1,2,,北,,,,,,,,,,,,,,,,,
18:00,29.4,90.8,4.1,6.9,3,,北,,,,,,,,,,,,,,,,,
18:10,29.1,90.3,5.3,6.4,5,,北,,,,,,,,,,,,,,,,,
